"hardlink","Hardlink"
"google_api_key_missing","Google API private key is missing (p12 file from API Console), please put it into the following location:"
"google_api_private_key_installed","Ваш приватный ключ Google API установлен корректно."
"google_api_access_description","Это необходимо для интеграции с Google API. Используйте только 'Service Account' из консоли Google API."
"not_possible_with_paging","Sorry, this is not possible in elements which are paged, try to restructure your data to avoid pages in the tree"
"not_supported_by_your_browser","Эта возможность не поддерживается вашим браузером, пожалуйста, обновите его до последней версии."
"absolute_path_to_icc_rgb_profile","Абсолютный путь к ICC RGB профилю"
"absolute_path_to_icc_cmyk_profile","Абсолютный путь к ICC RGB профилю"
"upload_path","Путь загрузки"
"inherited","Наследует"
"length","Длина"
"selection_options","Выбрать вариант"
"show_in_tree","Показать, как дерево"
"exactmatch","полное совпадение"
"open_document","Открыть документ"
"open_image","Открыть картинку"
"expiry","Срок истечения"
"mobile","Мобильная версия"
"desktop","Рабочий стол"
"drag_me","Перетащи меня"
"parameterPost","POST параметры"
"parameterGet","GET параметры"
"cookies","Cookies"
"serverVars","Серверные переменные"
"group_by_path","Сгруппировать по пути"
"flush","Очистить"
"errors_from_the_last_14_days","Ошибки за последние 14 дней"
"http_errors","HTTP ошибки"
"create_redirect_for_moved_renamed_page","Создать автоматическое перенаправление когда страница перемещается или изменяет имя "
"show_close_warning","Показывать предупреждения при закрытии"
"attributes","Атрибуты"
"matching_text","Совпадающий текст"
"tag_saved_successfully","Тэг сохранен успешно"
"thumbnail_saved_successfully","Миниатюра сохранена успешно"
"any","Любой"
"http_method","HTTP метод"
"url_pattern","URL паттерн (рег. выражение например @succes@)"
"beginning","Начало"
"element_css_selector","Элемент (CSS селектор)"
"insert_position","Вставить позицию"
"code","Код"
"tags","Тэги"
"problem_creating_new_tag","Возникла проблема во время создания нового тэга"
"enter_the_name_of_the_new_tag","Введите название нового тэга"
"add_tag","Добавить тэг"
"tag_snippet_management","Управление тэгами и сниппетами"
"import_class_definition","Импортировать определение класса"
"Click here to proceed","Нажмите здесь, чтобы продолжить"
"Your browser is not supported. Please install the latest version of one of the following browsers.","Ваш интернет-браузер не поддерживается. Пожалуйста установите последнюю версию из представленных браузеров."
"open_in_new_window","Открыть в новом окне"
"limit_reached","Лимит достигнут"
"robots_txt_exists_on_filesystem","Файл robots.txt уже существует в корне файловой системы"
"images_with_alt","Изображения с alt-текстом"
"images_without_alt","Изображения без alt-текста"
"external_links","Внешние ссылки"
"links","Ссылки"
"only_required_for_reporting_in_pimcore_but_not_for_code_integration","Следующие требуется только, если вы хотите использовать функциональность отчетов в pimcore, но не требуется для интеграции кода."
"analytics_additional_code","Дополнительные параметры отслеживания, например: _gaq.push(['_setDomainName', 'example.com']);"
"analytics_additional_code_before_pageview","Additional tracking parameters, which need to be added before track page view, eg. _gaq.push (['_gat._anonymizeIp']);"
"casesensitive","Чувствительный к регистру"
"path_aliases","Псевдонимы пути"
"path_error_message","Путь должен начинаться с символа / и должен содержать следующие символы a-zA-Z0-9-_/"
"pretty_url","ЧПУ ссылка"
"pretty_url_label","ЧПУ ссылка (перезаписывает путь из структуры дерева)"
"search_engine_optimization","Поисковая оптимизация"
"save_success","Успешно сохранено"
"save_error","Не удаётся сохранить данные"
"password_cannot_be_changed","Пароль не может быть изменён"
"old_password","Старый пароль"
"new_password","Новый пароль"
"retype_password","Повторите пароль"
"document_seo_analysis_overview","Обзор SEO аналитики документа"
"clear_temp_files","Удалить временные файлы"
"reports","Отчеты"
"routes","Маршруты"
"all_roles","Все роли"
"add_role","Добавить роль"
"role_creation_error","Не удаётся создать роль"
"role_save_success","Роль была успешно сохранена"
"role_save_error","Не удаётся сохранить роль"
"roles","Роли"
"workspaces","Рабочее пространство"
"Username","Имя пользователя"
"Password","Пароль"
"Forgot your password","Забыли ваш пароль"
"Back to Login","Вернуться к входу в систему"
"Enter your username and pimcore will send a login link to your email address","Введите своё имя и система вышлет вам ссылку для входа на вашу электронную почту"
"Please check your mailbox.","Пожалуйста проверьте вашу электронную почту."
"Login","Войти"
"Submit","Подтвердить"
"A temporary login link has been sent to your email address.","Временная ссылка для входа была выслана на вашу электронную почту."
"system_performance_stability_warning","Пожалуйста, не совершайте это действие, пока вы не будете уверены в том, что именно делаете.<br><b style='color:red'>Это действие может оказать серьезную угрозу стабильности и производительности всей системы и может вызвать перегрузку или полный вывод из строя сервера!</b><br><br>Вы уверены? "
"use_current_player_position_as_preview","Используйте текущее положение плейера для предпросмотра"
"select_image_preview","Select Image Preview"
"preview_not_available","Предварительный просмотр недоступен"
"status","Статус"
"video_preview_in_progress","Пред просмотр для  данного видео в процессе создания."
"video_bitrate","Скорость видеопотока (kB/s)"
"audio_bitrate","Скорость аудиопотока (kB/s)"
"php_cli_binary_and_or_ffmpeg_binary_setting_is_missing","Библиотека PHP-CLI или FFMPEG недоступны. Пожалуйста, убедитесь, что они установлены и настроены в Вашей системе!"
"video_thumbnails","Видео миниатюра"
"absolute_path_to_qtfaststart","Абсолютный путь к qtfaststart"
"absolute_path_to_ffmpeg_binary","Абсолютный путь к библиотеке FFMPEG"
"absolute_path_to_php_cli_binary","Абсолютный путь к PHP коммандной строке"
"module_optional","Модуль (опционально)"
"do_you_really_want_to_close_pimcore","Вы действительно хотите закрыть Pimcore?"
"valid_languages_frontend_description","Опция используется в документах чтобы указать язык содержимого(в закладке настроек) и для объектов в локализованных полях,...везде где редактор может выбрать или указать язык для содержания "
"maximum_items","макс. элементов"
"drop_element_here","Перетащите элемент сюда"
"select_specific_area_of_image","Укажите определенную область картинки"
"insert_video_url_here","Вставьте ссылку на видео здесь"
"error_pasting_asset","Невозможно вставить ресурс"
"error_pasting_document","Документ не может быть помещен в это место"
"paste_recursive_updating_references","Рекурсивная вставка, обновление зависимостей"
"collapsed","Свернуто"
"add_hardlink","Добавить 'жесткую' ссылку"
"source_path","Исходный путь"
"properties_from_source","Использовать настройки исходного документа"
"inherited_properties_from_source","Наследовать настройки исходного документа"
"childs_from_source","Использовать потомки исходного документа"
"hardlink_properties","Настройки 'жестких' ссылок"
"click_right_for_more_options","Нажмите правую кнопку мыши для дополнительных опций"
"clear_only_output_cache","Очистить только кэш страниц"
"move_to_tab","Перенести во вкладку"
"not_supported","Не поддерживается"
"show_random_pictures_on_login_screen","Случайные изображения на экране авторизации"
"url_to_custom_image_on_login_screen","URL изображения для экрана авторизации"
"system_infos_and_tools","Информация о системе и инструменты "
"edit_link","Редактировать ссылку"
"view_suffix","Суффикс представления"
"sepia","Сепия"
"grayscale","Оттенки серого"
"nothing_to_configure","Нечего настраивать"
"enter_the_name_of_the_new_thumbnail","Введите имя нового значка:"
"problem_creating_new_thumbnail","Не удалось создать миниатюру, проверьте имя. (Разрешены символы: a-z A-Z 0-9 _ -)"
"preview_url","URL превью"
"opacity","Прозрачность"
"applymask","Применить маску"
"addoverlay","Добавить плашку"
"important_use_imagick_pecl_extensions_for_best_results_gd_is_just_a_fallback_with_less_quality","ВАЖНО: для лучших результатов используйте расширение PECL imagick, библиотека GDlib менее функциональна и выдает худший результат!"
"add_thumbnail","Добавить миниатюру"
"transformations","Трансформации"
"frame","Фрейм"
"setbackgroundcolor","Установить цвет фона"
"setbackgroundimage","Установить фоновое изображение"
"roundcorners","Скруглить углы"
"resize","Изменить размер"
"scalebyheight","Масштабировать по высоте"
"scalebywidth","Масштабировать по ширине"
"crop","Обрезать"
"rotate","Повернуть"
"color","Цвет"
"positioning","Положение"
"angle","Угол"
"label_width","Ширина метки"
"label_first_cell","Label First Cell"
"cleanup","Очистка"
"this_element_cannot_be_edited","Этот элемент не может быть отредактирован"
"cache_disable_cookies","Отключить Cookies (список через запятую)"
"click_here_to_proceed","Нажмите здесь, чтобы продолжить"
"extensionmanager_upload_finished","Ваше расширение было успешно отправлено в репозиторий.Пожалуйста перейдите по следующей ссылке, чтобы завершить процесс загрузки и добавить дополнительную информацию к расширению,"
"path_to_lessc_optional","Путь к lessc (опционально)"
"details","Подробнее"
"only_for_ip","Только для IP (опция)"
"extension_is_up_to_date","Это обновление последней версии"
"update_information","Информация по обновлению"
"files","Файлы"
"share_extension_upload_summary","Следующие файлы будут переправлены в центр расширений на pimcore.org"
"number_of_files","Количество файлов"
"share_extension_description","Вам следует использовать регулярные выражения следующим образом - Одно выражение на линию"
"next","Следующий"
"exclude_files","Исключить файлы"
"collecting_download_information","Получение информации о загрузке"
"share","Рассказать другу"
"push_update","Push Update"
"collecting_update_information","Получаю информацию по обновлению.Пожалуйста подождите..."
"extensions_upload_agree_text","Если вы поделитесь этим расширением, оно не будет автоматически доступно публично. Сначала у вас будет возможность отредактировать некоторые детали, права доступа и зависимости для вашего дополнения. Далее выбор останется за вами открыть публичный доступ или нет."
"extension_upload_proceed","Я прочитал все вышеописанное. Продолжить загрузку сейчас!"
"please_dont_forget_to_reload_pimcore_after_modifications","Пожалуйста не забудьте перезагрузить pimcore после внесенных вами изменений"
"enable","Разрешить"
"disable","Запретить"
"configure","Настроить"
"download_extension","Скачать расширения"
"manage_extensions","Управление расширениями"
"share_extension","Поделиться расширениями"
"beginning_with_ending_with_optional_slash","Начать с, ... и добавить слэш"
"beginning_with","Начинается с"
"matching_exact","Точное вхождение"
"add_expert_mode","Добавить(Продвинутый режим)"
"add_beginner_mode","Добавить(Новичок)"
"cannot_save_object_please_try_to_edit_the_object_in_detail_view","Невозможно сохранить объект! Пожалуйста попробуйте отредактировать объект в подробном виде."
"size","Размер"
"select_a_file","Выбрать файл"
"upload_compatibility_mode","Загрузить файл (режим совместимости)"
"lowest","самый нижний"
"highest","самый верхний"
"override_all","переписать все"
"the_system_is_in_maintenance_mode_please_wait","Система в режиме технического обслуживания, пожалуйста подождите"
"activate","Активировать"
"maintenance_mode","Режим обслуживания"
"translate_content_to","Перевести содержимое в (на)"
"translate_api_key","Перевести ключ API"
"image_is_too_small","Картинка слишком маленькая, пожалуйста выберите побольше"
"new_version_available","Доступна новая версия"
"countrymultiselect","Страны"
"languagemultiselect","Локализация(Языки)"
"countrymultiselect_settings","Настройки стран"
"languagemultiselect_settings","Настройки языка"
"allow_capitals_for_documents","Настройки локализации"
"exif_data","Данные EXIF "
"dimensions","Размеры"
"image_details","Информация о изображении"
"yes","Подтвердить"
"no","Отменить"
"allow_trailing_slash_for_documents","Разрешить слеш в конце URL"
"none","Неопределён"
"name_is_not_allowed","Недопустимое название"
"system_properties","Свойства системы"
"localizedfields","Поля локализации"
"localizedfields_settings","Настройка полей локализации"
"import_from_server","Импорт с сервера"
"upload_files","Загрузить файлы"
"upload_zip","Загрузить zip архив"
"new_folder","Новая папка"
"please_enter_the_name_of_the_new_folder","Пожалуйста введите название новой папки"
"please_enter_the_name_of_the_new_file","Пожалуйста введите название нового файла"
"new_file","Новый файл"
"document_root","Корневой каталог"
"server_fileexplorer","Менеджер файлов на сервере"
"proxy_host","Хост прокси"
"proxy_port","Порт прокси"
"proxy_user","Имя пользователя прокси"
"proxy_pass","Пароль прокси"
"proxy_settings","Настройки прокси"
"select_connectivity_type","Выберите тип подключения"
"proxy","Прокси"
"direct_socket","Прямой (Сокет)"
"http_connectivity_direct_proxy","Http соединение (прямое, прокси)"
"parent_element","Родитель"
"import_fieldcollection_definition","Импортировать определения набора полей"
"fieldcollections_settings","Настройки(Набора полей)"
"batch_change_selected","Массовое изменение выбранного"
"gridview","Сетка"
"modificationDate","Дата изменения"
"creationDate","Дата создания"
"visibility_of_system_properties","Видимость системных свойств"
"translate","перевод"
"translations_admin_hint","Подсказка: Обновите интерфейс чтобы увидеть изменения перевода"
"download_as_zip","Скачать архивом"
"locked","Заблокировано"
"element_cannot_be_move_because_it_is_locked","Заблокированный элемент не может быть перемещен"
"element_cannot_be_moved","Элемент не может быть перенесен сюда"
"lock","Заблокировать"
"unlock","Разблокировать"
"lock_and_propagate_to_childs","Блокировать ветку"
"no_collections_allowed","Нет разрешенных наборов"
"allowed_types","Разрешенные типы"
"columnlength","Длина колонки"
"this_is_a_newer_not_published_version","Это новая неопубликованная версия"
"direct_sql_query","Прямой SQL запрос"
"filter_condition","Условия фильтра"
"creationdate","Дата создания"
"modificationdate","Дата изменения"
"all_types","Все Типы"
"audio","Аудио"
"video","Видео"
"archive","Архив"
"unknown","Неопределенный"
"class","Класс"
"page","Страница"
"snippet","Сниппет"
"folder","Папка"
"your_selection","Ваш Выбор"
"double_click_to_add_item_to_selection","Кликните дважды по элементу справа чтобы добавить его в список"
"visible_in_searchresult","Виден в результатах поиска"
"visible_in_gridview","Виден в таблице"
"fieldcollections","Наборы плей"
"fieldcollection_saved_successfully","Набор полей успешно сохранен"
"problem_creating_new_fieldcollection","Во время создания набора полей произошла ошибка"
"enter_the_name_of_the_new_fieldcollection","Введите названия нового набора полей"
"add_fieldcollection","Создать набор полей"
"field_collections","Наборы полей"
"block","Блок"
"update_flash","Пожалуйста обновите свой флэш плагин!"
"tooltip","Подсказки"
"label","Ярлык"
"objectsid","Объекты (ID's)"
"decimalPrecision","Десятичная точность"
"css_style","CSS Стиль"
"error_auth_failed","Ошибка авторизации! Пожалуйста, попробуйте еще раз."
"error_user_inactive","Пользователь был деактивирован."
"error_session_expired","Время сессии истекло. Пожалуйста, авторизуйтесь."
"settings_save_success","Настройки успешно сохранены"
"variation_page","Изменяемая страница."
"add_variation_page","Добавить изменяемую страницу."
"navigation_summary","Краткая навигация."
"prev_pages","Предыдущая страница"
"next_pages","Следующая страница"
"site","Сайт"
"descending","Нисходящий"
"ascending","Восходящий"
"sort","Сортировка"
"results","Результаты"
"dimension","Размер"
"metric","Метрика"
"data_explorer","Навигатор по данным"
"navigation","Навигация"
"bounces","Переходы"
"entrances","Заходы"
"exits","Выходы"
"uniquePageviews","Уникальных просмотров страницы"
"debug_mode_on","Режим отладки"
"restore","Восстановить"
"amount","Количество"
"flush_recyclebin","Очистить корзину"
"recyclebin","корзина"
"deletedby","Удалено"
"add_setting","Добавить установку"
"website_settings","Настройки сайта"
"reverse","Перевернуть"
"geopolygon","Географический полигон"
"open_select_editor","Открыть редактор выделения"
"geobounds","Географические границы"
"ignore","Игнорировать"
"sure_to_install_unstable_update","Вы уверены, что хотите установить потенциально не работоспособную версию?"
"there_was_a_problem_creating_a_folder","При создании новой папки произошла ошибка"
"empty_page","Пустая страница"
"empty_snippet","Пустой сниппет"
"empty_email","Пустой Email"
"email_log_property","Property Key"
"email_log_data","Данные"
"email_log_resend","Отправить письмо"
"email_log_resend_window_title","Переслать письмо"
"email_log_resend_window_msg","Пожалуйста, подтвердите, что Вы хотите отправить письмо всем получателям."
"analytics_advanced_mode","Расширенный режим"
"select_site","Выберите сайт"
"main_site","Главный сайт"
"filename","Имя файла"
"data_mapping","Сопоставление данных"
"unsupported_filetype","Формат файла не поддерживается"
"class_saved_successfully","Класс успешно сохранен"
"class_save_error","Класс не может быть сохранен"
"show_root_node","Показать корневой узел"
"root_folder","Корневая папка"
"email_log_resend_window_success_message","Письмо успешно отправлено всем получателям."
"email_log_resend_window_error_message","An error occurred. The email has not been resent."
"condition","Условие"
"custom_views","Пользовательский вид"
"error_jobs","Не удалось выполнить следующие задачи"
"batch_change","Групповое назначение"
"batch_edit_field","Групповое поле редактирования"
"published","Опубликован"
"all","все"
"items_per_page","объектов на страницу"
"analytics_accountid","ID аккаунта (напр. 1234567)"
"reload_pimcore_changes","Чтобы изменения вступили в силу, Pimcore нужно перезагрузить. Хотите перезагрузиться сейчас?"
"info","информация"
"ab_test_was_created_successfully","Ваш А/В успешно создан"
"ab_test_error","Произошла ошибка при создании вашего А/В теста."
"add_your_test_pages","Теперь добавьте ваши страницы в эксперимент"
"create_ab_description","Здесь Вы можете создать новые А/В тесты с Google Analytics и G..."
"experiment_name","Название эксперимента"
"conversion_page","Трансформирующаяся (Целевая)-Страница"
"test_page","Тестовая страница"
"URL","ссылка"
"select_version","Выберите версию"
"or","или"
"link_settings","Свойства ссылки"
"error_pasting_object","Во время вставки объекта произошла ошибка"
"paste_contents","Вставить сюда только содержимое"
"paste_as_child","Вставить как дочерний"
"paste_recursive_as_childs","Вставить как дочерний (рекурсивно)"
"view_original","Посмотреть оригинал"
"feed","Поле"
"no_objects_found","Объектов не найдено"
"no_assets_found","Активов не найдено"
"no_documents_found","Документы не найдены"
"public_url","Публичная ссылка"
"create_ab_test","Создать А/В тест"
"google_websiteoptimizer","Оптимизатор сайта от Google"
"pageviews","Просмотров страницы"
"unique_pageviews","Уникальных просмотров"
"visits","Посещений"
"pagespervisit","Страниц / посещений"
"average_timeonsite","Среднее время пребывания на сайте"
"bouncerate","Количество переходов"
"link_sources","Источники ссылок"
"google_crawling_issues","Отчеты Google Crawler (Нажмите на строку чтобы увидеть детали)"
"detail","Детализация"
"crawling_issues","Отчеты по индексации"
"internal_keywords","Внутренние ключевые слова"
"external_keywords","Внешние ключевые слова"
"google_webmastertools","Google инструменты вебмастера"
"verification_filename_text","Verificationfilename<br /><small>required for verification</small>"
"analytics_notice","Пожалуйста, сначала прочитайте документацию о интеграции Google Analytics, для расширенного режима необходимо изменить параметры Google Analytics"
"outputcache_lifetime_description","Время в (секундах) отчистки кэша , если не задан параметр , автоматически при каждом действии при (адмиистрировании) "
"cache_exclude_patterns_description","Регулярные выражения типа /^\/dir\/toexplude/"
"analytics_trackid_code","Track-ID (eg. UA-XXXXX-X)<br /><small>required for code integration</small>"
"analytics_settings_profile_description","Перед выбором профиля вы должны указать данные учетной записи Google Analytics в настройках системы (Google-данные) или в полях ниже."
"report_settings","Настройки отчета"
"overview","Обзор"
"visitor_overview","Обзор посетителей"
"other","Другое"
"google_analytics","Google Аналитика"
"select_a_report","Выберите отчет"
"reports_and_marketing","Отчеты и Маркетинг"
"multiselect","Множественный выбор"
"multiselect_settings","Настройки множественного выбора"
"handler","Обработчик"
"invisible","Невидимый"
"only_configured_languages","Отображать только на языках, настроенных в системных настройках"
"language_settings","Установки языка"
"forms","Формы"
"add_form_component","Добавить компоненту формы"
"save_only_scheduled_tasks","Сохранить только запланированные задачи"
"minify_javascript_algorithm","Алгоритм минификации JavaScript"
"modified_assets","Измененные ресурсы"
"modification_statistic","Изменения за последние 31 дней"
"minify_javascript","Минимизировать javascript"
"minify_css","Минимизировать CSS"
"content","Содержимое"
"slider_settings","Настройки слайдера"
"add_portlet","Добавить портлет"
"system_statistics","Системная статистика"
"modified_documents","Измененные документы"
"modified_objects","Измененные объекты"
"welcome","Добро пожаловать"
"save_and_publish","Сохранить и опубликовать"
"delete","Удалить"
"save","Сохранить"
"your_asset_has_been_saved_successfully","Ресурс сохранен"
"add_assets","Добавить ресурс(ы)"
"preview","Предварительный просмотр"
"edit_image","Редактировать изображение"
"simple","Простой"
"advanced","Расширенный"
"basic","Базовый"
"permissions","Полномочия"
"assets_permissions","Права доступа к ресурсам"
"documents_permissions","Права доступа к документам"
"objects_permissions","Права доступа к объектам"
"username","Логин"
"list","Список"
"view","Просмотр"
"publish","Опубликовать"
"rename","Переименовать"
"create_childs","Создать потомков"
"settings","Настройки"
"properties","Свойства"
"versions","Версии"
"add","Добавить"
"date","Дата"
"user","Пользователь"
"note","Примечание"
"available_versions","Доступные версии"
"controller_and_view_settings","Настройки контроллера и вида"
"email_from","От"
"email_subject","Тема"
"email_to","Кому"
"email_cc","Копия"
"email_bcc","BCC (Скрытая копия)"
"email_receive_empty_text","Liste der empfänger"
"email_settings","Настройки почты"
"email_settings_receiver_description","Множество получателей можно объявить разделив их точной с запятой.<br>Например: reciver@pimcore.org; reciver2@pimcore.org"
"email_logs","Отправленные письма"
"email_log_from","От"
"email_log_to","Кому"
"email_log_cc","Копия"
"email_log_bcc","Bcc"
"email_log_sent_Date","Дата отправки"
"email_log_subject","Тема"
"email_log_show_html_email","Показать как HTML"
"email_log_show_text_email","Показать как текст"
"email_log_iframe_title_html","HTML-версия письмя"
"email_log_iframe_title_text","Текстовая версия письма"
"email_log_show_text_params","Показать динамические параметры"
"email_log_iframe_title_params","Динамические параметры"
"email_log_html","HTML"
"email_log_text","Текст"
"email_log_params","Динамические параметры"
"predefined_document_type","Предопределенный тип документа"
"controller","Контроллер"
"module","Модуль"
"action","Действие"
"actions","Actions"
"template","Шаблон"
"path_and_key_settings","Пути и основные настройки"
"path","Путь"
"key","Ключ"
"id","ID"
"name_and_meta_data","Имя и метадата"
"name","Имя"
"title","Название"
"description","Описание"
"keywords","Ключевые слова"
"your_document_has_been_saved","Документ успешно сохранен!"
"unpublish","Снять с публикации"
"internal_link","Внутренняя ссылка"
"link_properties","Свойства ссылки"
"target","Цель"
"type","Тип"
"external_link","Внешняя ссылка"
"add_folder","Добавить папку"
"edit_filename","Изменить имя файла"
"please_enter_the_name_of_the_folder","Пожалуйста, введите имя папки"
"upload_your_files_press_shift_to_select_multiple_files","Загружайте ваши файлы, нажмите 'Shift', чтобы выбрать несколько файлов"
"please_enter_the_new_name","Пожалуйста, введите новое имя:"
"the_filename_is_already_in_use","Файл с таким именем уже присутствует в папке, выберите другое имя файла"
"add_page","Добавить страницу"
"add_snippet","Добавить сниппет"
"add_email","Добавить письмо"
"add_link","Добавить ссылку"
"copy","Копировать"
"paste","Вставить"
"edit_key","Редактировать ключ"
"use_this_as_document_root_for_new_site","Использовать как корневой документ для нового подсайта"
"please_enter_the_domains_for_the_new_site","Введите домен (или домены, разделенные запятой) для нового сайта"
"edit_site_domains","Редактировать домены для сайта"
"please_enter_the_domains_for_the_site","Введите домен (или домены, разделенные запятой) для сайта"
"please_enter_the_new_key","Введите новый ключ:"
"the_key_is_already_in_use_in_this_level_please_choose_an_other_key","Этот ключ уже используется, выберите другой ключ."
"close_all_tabs","Закрыть все вкладки"
"search","Поиск"
"import","Импортировать"
"export","Экспортировать"
"clear_cache","Очистить Кеш"
"extensions","Расширения"
"backup","Резервная копия"
"glossary","Глоссарий"
"document_types","Типы документов"
"predefined_properties","Предопределенные свойства"
"users","Пользователи"
"profile","Профиль пользователя"
"system","Система"
"update","Обновление"
"documentation","Документация"
"report_bugs","Сообщить об ошибке"
"about","О системе"
"file","Файл"
"extras","Дополнительно"
"help","Справка"
"configuration","Конфигурация"
"content_type","Тип содержимого"
"value","Значение"
"new_property","Новое свойство"
"add_a_predefined_property_set","Добавить предопределенный набор свойств"
"select_a_property","Выбор свойства"
"add_a_custom_property","Добавить пользовательское свойство"
"all_users","Все пользователи"
"general","Общие"
"admin","Администратор"
"password","Пароль"
"language","Язык"
"please_enter_the_name","Пожалуйста, введите имя:"
"new_document_type","Новый тип документа"
"system_settings","Системные настройки"
"timezone","Часовой пояс"
"mysql_database","База данных MySQL"
"host","Хост"
"database_name","Название базы данных"
"database_port","Порт базы данных"
"chmod_folder","Права папок"
"chmod_files","Права файлов"
"hostname_for_webdav","Хост для WebDAV"
"api_key","Ключ API "
"secret","Секрет"
"client_id","ID клиента"
"image_thumbnails","Миниатюры изображений"
"thumbnails","Миниатюры"
"quality","Качество"
"interlace","Интерфейс"
"aspect_ratio","Соотношение сторон"
"format","Формат"
"trees","Деревья"
"documents","Документы"
"assets","Ресурсы"
"upload","Загрузить"
"width","Ширина"
"height","Высота"
"empty","Пусто"
"workflow","Рабочий процесс"
"modify","Изменить"
"create","Создать"
"edit","Редактировать"
"logout","Выйти"
"cache","Кэш"
"temporary_files","Временные файлы"
"clear_temporary_files","Очистить временные файлы"
"store_version_history_in_days","Хранить историю изменений N дней"
"store_version_history_in_steps","Хранить историю изменений N шагов"
"refresh","Обновить"
"classes","Классы"
"static_routes","Статические маршруты"
"add_class","Добавить класс"
"enter_the_name_of_the_new_class","Пожалуйста, укажите имя нового класса"
"layout","Слой"
"add_layout_component","Добавить компонент разметки"
"add_data_component","Добавить компонент данных"
"accordion","Аккордион"
"fieldset","Набор полей ввода"
"panel","Панель"
"tabpanel","Панель закладок"
"pattern","Шаблон"
"variables","Переменные"
"defaults","По умолчанию"
"input","Ввод"
"checkbox","Флажок"
"textarea","Текстовое поле"
"wysiwyg","WYSIWYG"
"numeric","Номер"
"href","Ссылка"
"image","Изображение"
"select","Выберите"
"objects","Объекты"
"structured","Структурированные"
"geo","Географические"
"base","База"
"default_controller","Контроллер по умолчанию"
"default_action","Действие по умолчанию"
"error_pages","Страницы ошибок"
"no_preview_available","Извините, предпросмотр недоступен"
"add_object","Добавить объект"
"basic_configuration","Базовая конфигурация"
"allow_inherit","Разрешить наследование"
"parent_class","Родительский класс"
"general_settings","Основные настройки"
"layout_settings","Настройки слоя (администратор Pimcore)"
"region","Регион"
"border","Граница"
"collapsible","Сворачиваемый"
"display_layout_to_users","Показывать слои только для выбранных пользователей"
"date_settings","Настройка (Дата)"
"input_settings","Настройка (Ввод)"
"textarea_settings","Настройка (Текстовое поле)"
"wysiwyg_settings","Настройка (WYSIWYG)"
"numeric_settings","Настройка (Число)"
"image_settings","Настройка (Изображение)"
"objects_settings","Настройка (Объекты)"
"nonownerobjects_settings","Настройка (Объекты без владельца)"
"href_settings","Настройка (Ссылка)"
"select_settings","Настройка (Выбор)"
"checkbox_settings","Настройка (Флажок)"
"allowed_classes","Доступные классы"
"display_name","Отображать как"
"not_editable","Не редактируемое"
"floating","Плавающий элемент"
"index","Проиндексирован"
"mandatoryfield","Обязательное поле"
"use_as_site","Использовать в качестве сайта"
"edit_domains","Изменить домены"
"remove_site","Удалить сайт"
